family_id,n,k,family,seed,planted_mask,alpha_target,alpha,m,n_solutions,beta0,beta1,beta2,skeleton_beta1,cubical_beta1,fill_gap,girth,truncated,n_edges,n_faces,n_cubes,built_dim,total_ms
6,14,3,uniform,1005,,2.0,2.0,28,209,2,0,0,325,0,325,4,False,532,512,233,3,38.63139999884879
6,14,3,uniform,1005,,2.1,2.0714285714285716,29,195,2,0,0,293,0,293,4,False,486,457,205,3,37.738099999842234
6,14,3,uniform,1005,,2.2,2.2142857142857144,31,145,1,0,0,190,0,190,4,False,334,266,85,3,35.83010000147624
6,14,3,uniform,1005,,2.3,2.2857142857142856,32,145,1,0,0,190,0,190,4,False,334,266,85,3,45.04040000028908
6,14,3,uniform,1005,,2.4,2.4285714285714284,34,140,1,0,0,184,0,184,4,False,323,258,83,3,43.34430000017164
6,14,3,uniform,1005,,2.5,2.5,35,101,1,0,0,104,0,104,4,False,204,131,27,3,34.33709999990242
6,14,3,uniform,1005,,2.6,2.5714285714285716,36,81,1,0,0,69,0,69,4,False,149,83,14,3,40.87299999991956
6,14,3,uniform,1005,,2.7,2.7142857142857144,38,26,4,0,0,13,0,13,4,False,35,15,2,3,34.34469999956491
6,14,3,uniform,1005,,2.8,2.7857142857142856,39,22,5,0,0,10,0,10,4,False,27,12,2,3,30.713300000570598
6,14,3,uniform,1005,,2.9,2.9285714285714284,41,12,3,0,0,5,0,5,4,False,14,6,1,3,29.39150000020163
6,14,3,uniform,1005,,3.0,3.0,42,12,3,0,0,5,0,5,4,False,14,6,1,3,30.88209999987157
6,14,3,uniform,1005,,3.1,3.0714285714285716,43,12,3,0,0,5,0,5,4,False,14,6,1,3,33.98879999986093
6,14,3,uniform,1005,,3.2,3.2142857142857144,45,9,3,0,0,2,0,2,4,False,8,2,0,3,29.806799999278155
6,14,3,uniform,1005,,3.3,3.2857142857142856,46,8,2,0,0,2,0,2,4,False,8,2,0,3,33.08450000076846
6,14,3,uniform,1005,,3.4,3.4285714285714284,48,6,1,0,0,2,0,2,4,False,7,2,0,3,30.421800000112853
6,14,3,uniform,1005,,3.5,3.5,49,6,1,0,0,2,0,2,4,False,7,2,0,3,31.42890000162879
6,14,3,uniform,1005,,3.75,3.7142857142857144,52,3,1,0,0,0,0,0,,False,2,0,0,3,31.773899998370325
6,14,3,uniform,1005,,4.0,4.0,56,3,1,0,0,0,0,0,,False,2,0,0,3,27.917700001125922
6,14,3,uniform,1005,,4.25,4.285714285714286,60,0,0,0,0,0,0,0,,False,0,0,0,3,32.73839999928896
6,14,3,uniform,1005,,4.5,4.5,63,0,0,0,0,0,0,0,,False,0,0,0,3,30.647999999928288
6,14,3,uniform,1005,,4.75,4.714285714285714,66,0,0,0,0,0,0,0,,False,0,0,0,3,36.04810000069847
6,14,3,uniform,1005,,5.0,5.0,70,0,0,0,0,0,0,0,,False,0,0,0,3,30.488699998386437
7,14,3,uniform,1006,,1.0,1.0,14,1840,1,0,0,6041,0,6041,,False,7880,14312,14306,3,2120.6387000001996
7,14,3,uniform,1006,,1.25,1.2857142857142858,18,1120,1,0,0,3373,0,3373,,False,4492,7546,6830,3,932.0153000007849
7,14,3,uniform,1006,,1.5,1.5,21,688,1,0,0,1637,0,1637,4,False,2324,3130,2118,3,180.099600000176
7,14,3,uniform,1006,,1.6,1.5714285714285714,22,496,2,0,0,1086,0,1086,4,False,1580,2014,1302,3,132.06450000143377
7,14,3,uniform,1006,,1.7,1.7142857142857142,24,418,2,0,0,865,0,865,4,False,1281,1552,934,3,143.40289999927336
